COD_COMPRA,NOM_CLIENTE,VLR_COMPRA,DAT_COMPRA,BY_INTERNET
700001,Hedwig Crawford,449.80,2017-04-21 20:43:38,0
700002,Austin Nguyen,3123.36,2010-06-25 00:41:01,0
700003,Miriam Keller,8320.34,2011-05-21 07:42:38,0
700004,Griffin Higgins,6827.69,2017-08-31 13:40:26,1
700005,Victoria Delgado,8424.14,2011-09-23 09:27:54,0
700006,Tanner Durham,6153.86,2015-03-11 10:01:37,1
700007,Ross Whitehead,5675.13,2012-12-09 08:15:50,1
700008,Jamal Marsh,3524.12,2013-10-22 23:22:12,0
700009,Grant Mays,52.80,2014-05-03 07:59:52,1
700010,Lareina Odom,5858.24,2015-04-04 19:01:48,1
700011,Victor Travis,2737.80,2016-09-09 04:08:13,1
700012,Benjamin Gray,9495.72,2010-07-11 19:32:05,0
700013,September Garrett,9466.68,2011-12-09 20:51:00,1
700014,Hiram Guzman,5288.46,2015-10-21 07:30:33,0
700015,Steven Whitfield,5558.17,2012-10-28 01:59:43,0
700016,August Dominguez,198.67,2014-10-10 06:14:09,0
700017,Alyssa Abbott,9289.66,2015-02-23 11:48:29,0
700018,Oleg Moon,9975.58,2014-01-24 04:45:13,0
700019,Griffith Evans,254.59,2015-05-21 04:48:38,0
700020,Graiden Campbell,7303.77,2014-02-23 00:01:02,0
700021,McKenzie Livingston,4525.04,2011-09-13 10:34:46,1
700022,Dora Pierce,8376.85,2016-04-08 13:02:59,0
700023,Portia Goodwin,7285.90,2013-04-18 18:01:30,1
700024,Karen Sims,4364.00,2011-04-17 08:13:28,1
700025,Gay Whitney,6567.07,2012-10-04 18:53:44,0
700026,Nigel Battle,67.17,2011-05-09 13:33:33,0
700027,Halee Beasley,1841.69,2017-10-27 03:10:21,0
700028,Christine Jarvis,4663.86,2010-05-30 02:46:45,0
700029,Christine Davenport,1626.09,2014-12-27 05:10:34,1
700030,Martin Bright,1651.83,2016-03-27 01:46:09,1
